ABSTIMMUNG	gruenen	spd	cdu/csu	die.linke	fraktionslos	file
018-003-01	1.0	1.0	1.0	0.0	-1	20131128_1_xls-data.xls
018-003-02	1.0	1.0	1.0	0.0	-1	20131128_2_xls-data.xls
018-010-01	0.963636363636	0.955056179775	1.0	0.0	-1	20140129_1_xls-data.xls
018-010-02	0.0	0.948571428571	1.0	0.0	-1	20140129_2_xls-data.xls
018-011-01	0.0	1.0	0.983108108108	0.0	-1	20140130_1_xls-data.xls
018-017-01	0.777777777778	0.909604519774	0.996699669967	0.0	-1	20140220_1_xls-data.xls
018-017-02	0.946428571429	0.977272727273	0.996677740864	0.0	-1	20140220_2_xls-data.xls
018-018-01	0.0	0.98275862069	0.993220338983	0.0	-1	20140221_1_xls-data.xls
018-018-02	1.0	1.0	0.989795918367	1.0	-1	20140221_2_xls-data.xls
018-020-01	0.0	1.0	0.988970588235	0.0	-1	20140313_1_xls-data.xls
018-026-01	0.0	0.965517241379	1.0	0.0	-1	20140403_1_xls-data.xls
018-026-02	1.0	1.0	1.0	-1	-1	20140403_2_xls-data.xls
018-026-03	-1	0.0	0.0	1.0	-1	20140403_3_xls-data.xls
018-029-01	1.0	1.0	1.0	0.125	-1	20140409_xls-data.xls
018-030-01	1.0	0.982558139535	1.0	0.0	-1	20140410_xls-data.xls
018-033-01	1.0	0.0117647058824	0.0	1.0	-1	20140508_1_xls-data.xls
018-033-02	1.0	1.0	1.0	1.0	-1	20140508_2_xls-data.xls
018-033-03	1.0	0.0	0.0	1.0	-1	20140508_3_xls-data.xls
018-036-01	0.0	0.953757225434	1.0	0.0	-1	20140522_1_xls-data.xls
018-036-02	1.0	0.0261437908497	0.00352112676056	1.0	-1	20140522_2_xls-data.xls
018-036-03	1.0	0.00584795321637	0.0	1.0	-1	20140522_3_xls-data.xls
018-036-04	0.0	1.0	1.0	0.0	-1	20140522_4_xls-data.xls
018-037-01	1.0	0.0	0.0	1.0	-1	20140523_1_xls-data.xls
018-037-02	1.0	0.0	0.0	1.0	-1	20140523_2_xls-data.xls
018-037-03	1.0	0.0	0.0	1.0	-1	20140523_3_xls-data.xls
018-037-04	0.0	1.0	0.969072164948	-1	-1	20140523_4_xls-data.xls
018-039-01	0.981481481481	0.989010989011	1.0	0.0	-1	20140605_1_xls-data.xls
018-042-01	0.0	1.0	1.0	0.0	-1	20140625_1_xls-data.xls
018-042-02	0.946428571429	0.977011494253	1.0	0.0	-1	20140625_2_xls-data.xls
018-042-03	0.961538461538	0.960451977401	1.0	0.0	-1	20140625_3_xls-data.xls
018-042-04	1.0	0.0	0.0	1.0	-1	20140625_4_xls-data.xls
018-044-01	1.0	0.0054347826087	0.0	1.0	-1	20140627_1_xls-data.xls
018-044-02	1.0	0.00546448087432	0.0	1.0	-1	20140627_2_xls-data.xls
018-044-03	0.0	0.994285714286	0.954545454545	0.0	-1	20140627_3_xls-data.xls
018-044-04	1.0	0.00561797752809	0.0	1.0	-1	20140627_4_xls-data.xls
018-044-05	0.0	0.994444444444	0.993055555556	0.0	-1	20140627_5_xls-data.xls
018-044-06	1.0	0.00552486187845	0.0	1.0	-1	20140627_6_xls-data.xls
018-044-07	0.0	1.0	1.0	0.0	-1	20140627_7_xls-data.xls
018-046-01	1.0	0.0	0.0	1.0	-1	20140703_1_xls-data.xls
018-046-02	1.0	1.0	0.982817869416	-1	-1	20140703_2_xls-data.xls
018-046-03	1.0	0.00549450549451	0.0	1.0	-1	20140703_3_xls-data.xls
018-046-04	0.0178571428571	1.0	0.985964912281	0.0	-1	20140703_4_xls-data.xls
018-046-05	1.0	0.0	0.0	1.0	-1	20140703_5_xls-data.xls
018-046-06	0.0	1.0	1.0	0.0	-1	20140703_6_xls-data.xls
018-047-01	-1	1.0	1.0	0.0	-1	20140704_1_xls-data.xls
018-054-01	1.0	0.0	0.0	1.0	-1	20140925_1_xls-data.xls
018-054-02	1.0	0.0	0.0	1.0	-1	20140925_2_xls-data.xls
018-054-03	0.0	0.988636363636	1.0	0.0	-1	20140925_3_xls-data.xls
018-060-01	1.0	0.0	0.0	1.0	-1	20141016_1_xls-data.xls
018-061-01	1.0	0.0	0.0	1.0	-1	20141017_1_xls-data.xls
018-061-02	1.0	0.0	0.0	1.0	-1	20141017_2_xls-data.xls
018-061-03	-1	0.0	0.0	1.0	-1	20141017_3_xls-data.xls
018-061-04	1.0	0.0	0.0	1.0	-1	20141017_4_xls-data.xls
018-066-01	0.0	0.0	0.0	1.0	-1	20141113_1_xls-data.xls
018-066-02	1.0	0.0	0.0	-1	-1	20141113_2_xls-data.xls
018-066-03	-1	1.0	1.0	0.0	-1	20141113_3_xls-data.xls
018-066-04	0.0	0.0	0.0	1.0	-1	20141113_4_xls-data.xls
018-066-05	-1	0.0	0.0	1.0	-1	20141113_5_xls-data.xls
018-066-06	1.0	0.0	0.0	-1	-1	20141113_6_xls-data.xls
018-066-07	1.0	0.0	0.0	-1	-1	20141113_7_xls-data.xls
018-066-08	0.0	1.0	1.0	0.0	-1	20141113_8_xls-data.xls
018-066-09	1.0	0.994382022472	1.0	0.0	-1	20141113_9_xls-data.xls
018-066-10	1.0	0.994382022472	1.0	0.0	-1	20141113_10_xls-data.xls
018-069-01	0.0	1.0	1.0	0.0	-1	20141126_1_xls-data.xls
018-071-01	0.0	1.0	1.0	0.0	-1	20141128_1_xls-data.xls
018-071-02	1.0	0.00558659217877	0.0	1.0	-1	20141128_2_xls-data.xls
018-076-01	0.209302325581	0.92817679558	0.996621621622	0.0	-1	20141218_1_xls-data.xls
018-076-02	0.0	0.932960893855	1.0	0.0196078431373	-1	20141218_2_xls-data.xls
018-076-03	1.0	0.0	0.0	1.0	-1	20141218_3_xls-data.xls
018-076-04	0.0	1.0	1.0	0.0	-1	20141218_4_xls-data.xls
018-082-01	0.0	0.931034482759	0.996621621622	0.0	-1	20150129_1_xls-data.xls
018-082-02	0.894736842105	0.953757225434	1.0	0.0	-1	20150129_2_xls-data.xls
018-088-01	0.949152542373	0.977011494253	1.0	0.0	-1	20150226_1_xls-data.xls
018-089-01	1.0	1.0	0.900343642612	0.931818181818	-1	20150227_1_xls-data.xls
018-091-01	1.0	0.0	0.0	1.0	-1	20150305_1_xls-data.xls
018-091-02	1.0	0.0	0.0	1.0	-1	20150305_2_xls-data.xls
018-097-01	0.0	0.971264367816	1.0	0.0	-1	20150326_1_xls-data.xls
018-097-02	0.0	1.0	0.996389891697	0.0	-1	20150326_2_xls-data.xls
018-098-01	1.0	0.0	0.0	-1	-1	20150327_1_xls-data.xls
018-098-02	1.0	0.0	0.0	-1	-1	20150327_2_xls-data.xls
018-098-03	0.0	0.932515337423	1.0	0.0	-1	20150327_3_xls-data.xls
018-098-04	1.0	0.0	0.0	-1	-1	20150327_4_xls-data.xls
018-098-05	0.0	1.0	1.0	0.0	-1	20150327_5_xls-data.xls
018-098-06	1.0	0.0	0.0	1.0	-1	20150327_6_xls-data.xls
018-098-07	0.0	1.0	1.0	-1	-1	20150327_7_xls-data.xls
018-106-01	0.0	0.955056179775	1.0	0.0	-1	20150521_1_xls-data.xls
018-106-02	1.0	0.988636363636	1.0	0.0	-1	20150521_2_xls-data.xls
018-107-01	0.0	0.994318181818	0.943859649123	0.0	-1	20150522_1_xls-data.xls
018-112-01	1.0	0.00564971751412	0.00335570469799	1.0	-1	20150618_1_xls-data.xls
018-113-01	0.981818181818	0.988764044944	1.0	0.0	-1	20150619_1_xls-data.xls
018-113-02	0.948275862069	0.971590909091	1.0	0.0	-1	20150619_2_xls-data.xls
018-113-03	0.962962962963	0.966480446927	1.0	0.0	-1	20150619_3_xls-data.xls
018-115-01	1.0	0.010989010989	0.0	-1	-1	20150702_1_xls-data.xls
018-115-02	1.0	0.0276243093923	0.0	1.0	-1	20150702_2_xls-data.xls
018-115-03	1.0	0.0277777777778	0.0	1.0	-1	20150702_3_xls-data.xls
018-115-04	1.0	0.0	0.0	1.0	-1	20150702_4_xls-data.xls
018-115-05	0.0	0.994413407821	1.0	0.0	-1	20150702_5_xls-data.xls
018-115-06	0.0	0.994382022472	0.993127147766	0.0	-1	20150702_6_xls-data.xls
018-117-01	0.92	0.977653631285	0.800664451827	0.0	-1	20150717_1_xls-data.xls
018-117-02	1.0	0.00558659217877	0.0	1.0	-1	20150717_2_xls-data.xls
018-117-03	0.98275862069	0.00558659217877	0.0	1.0	-1	20150717_3_xls-data.xls
018-118-01	0.981132075472	0.977401129944	0.783505154639	0.0	-1	20150819_1_xls-data.xls
018-127-01	0.0	0.975903614458	1.0	0.0	-1	20151001_1_xls-data.xls
018-127-02	0.0	1.0	1.0	0.0	-1	20151001_2_xls-data.xls
018-127-03	0.0	0.993975903614	1.0	-1	-1	20151001_3_xls-data.xls
018-128-01	-1	1.0	1.0	0.0	-1	20151002_1_xls-data.xls
018-130-01	0.0169491525424	0.994318181818	1.0	0.0	-1	20151015_1_xls-data.xls
018-130-02	0.0175438596491	0.960893854749	1.0	0.0	-1	20151015_2_xls-data.xls
018-130-03	0.0169491525424	0.988571428571	1.0	0.0	-1	20151015_3_xls-data.xls
018-130-04	1.0	1.0	1.0	-1	-1	20151015_4_xls-data.xls
018-130-05	0.0909090909091	0.994252873563	1.0	0.0	-1	20151015_5_xls-data.xls
018-131-01	0.0	0.75	1.0	0.0	-1	20151016_1_xls-data.xls
018-133-01	-1	1.0	1.0	0.0	-1	20151105_1_xls-data.xls
018-133-02	1.0	1.0	1.0	1.0	-1	20151105_2_xls-data.xls
018-134-01	0.483333333333	0.971098265896	0.976351351351	0.684210526316	-1	20151106_1_xls-data.xls
018-134-03	0.316666666667	0.413978494624	0.865979381443	0.214285714286	-1	20151106_2_xls-data.xls
018-136-01	1.0	0.994252873563	1.0	0.0	-1	20151112_1_xls-data.xls
018-136-02	1.0	0.994186046512	1.0	0.0	-1	20151112_2_xls-data.xls
018-139-01	0.0	1.0	1.0	0.0	-1	20151125_1_xls-data.xls
018-141-01	1.0	0.00561797752809	0.0	1.0	-1	20151127_1_xls-data.xls
018-141-02	0.0	1.0	1.0	0.0	-1	20151127_2_xls-data.xls
018-143-01	1.0	0.0	0.0	1.0	-1	20151203_1_xls-data.xls
018-144-01	0.0535714285714	0.845303867403	0.993127147766	0.0	-1	20151204_1_xls-data.xls
018-144-02	0.0	0.0	0.0	1.0	-1	20151204_2_xls-data.xls
018-146-01	0.38	0.905027932961	0.996666666667	0.0	-1	20151217_1_xls-data.xls
018-146-02	0.0	0.932960893855	1.0	0.0	-1	20151217_2_xls-data.xls
018-152-01	1.0	0.953216374269	1.0	0.0	-1	20160128_1_xls-data.xls
018-152-02	0.153846153846	0.918128654971	1.0	0.0	-1	20160128_2_xls-data.xls
018-154-01	1.0	0.0	0.0	1.0	-1	20160217_1_xls-data.xls
018-155-01	1.0	0.00555555555556	0.00347222222222	1.0	-1	20160218_1_xls-data.xls
018-158-01	0.0	0.81976744186	1.0	0.0	-1	20160225_1_xls-data.xls
018-158-02	0.0	0.825581395349	0.996527777778	0.0	-1	20160225_2_xls-data.xls
018-158-03	1.0	0.00584795321637	0.00719424460432	1.0	-1	20160225_3_xls-data.xls
018-160-01	-1	0.0	0.0	1.0	-1	20160316_1_xls-data.xls
018-161-01	0.0	0.966292134831	1.0	0.0	-1	20160317_1_xls-data.xls
018-164-01	-1	1.0	1.0	0.0	-1	20160414_1_xls-data.xls
018-167-01	1.0	0.00704225352113	0.0174216027875	1.0	-1	20160428_1_xls-data.xls
018-167-02	0.0	0.993548387097	1.0	0.0	-1	20160428_2_xls-data.xls
018-170-01	1.0	0.0	0.0	1.0	-1	20160512_1_xls-data.xls
018-170-02	1.0	0.0	0.0	1.0	-1	20160512_2_xls-data.xls
018-170-03	0.0	1.0	1.0	0.0	-1	20160512_3_xls-data.xls
018-170-04	0.933333333333	0.976744186047	1.0	0.0	-1	20160512_4_xls-data.xls
018-170-05	0.692307692308	0.96511627907	1.0	0.0	-1	20160512_5_xls-data.xls
018-171-01	0.0	0.869047619048	1.0	0.0	-1	20160513_1_xls-data.xls
018-179-01	0.962962962963	0.983606557377	1.0	0.0	-1	20160623_1_xls-data.xls
018-179-02	0.962264150943	0.966850828729	1.0	0.0	-1	20160623_2_xls-data.xls
018-179-03	1.0	0.0	0.0	1.0	-1	20160623_3_xls-data.xls
