poll	'GRUENE'	'OEDP'	'BUENDNISC'	'ALFA'	'DIEPARTEI'	'AFD'	'NPD'	'BLAUE'	'LINKE'	'FDP'	'CDU/CSU'	'individual'	'FREIEWAEHLER'	'PIRATEN'	'SPD'
299d2467-520f-4d6c-9273-93b2f95719f8	1.0	1.0	0.0	1.0	1.0	-1	-1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
73324002-c088-419c-a04d-a5cf88a88465	1.0	1.0	-1	0.0	1.0	0.0	-1	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
28303e58-b43e-40ab-83e6-96f76c9b4d54	1.0	1.0	1.0	1.0	1.0	0.0	0.0	-1	1.0	1.0	1.0	1.0	1.0	-1	1.0
a98d55d5-26c3-4a51-a99a-8bd0e525b628	1.0	1.0	0.0	0.0	-1	0.0	-1	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
482a257f-d807-494a-98ff-b94b0626582a	1.0	-1	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.444444444444	1.0	-1	1.0	1.0
c36af239-8398-412b-838d-44ff7570f11c	1.0	1.0	0.0	0.0	1.0	-1	1.0	1.0	1.0	1.0	1.0	-1	-1	1.0	1.0
9dbbef87-3615-47e9-8833-f0546631ab79	1.0	-1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-1	1.0	1.0	1.0
ac895b89-d823-4d68-bac8-f12f6720387f	1.0	1.0	0.0	0.0	-1	0.0	-1	0.0	1.0	1.0	0.9375	1.0	1.0	1.0	1.0
e4de7b49-e163-47f4-8f27-56addd2839e1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1	1.0	1.0	0.666666666667	1.0	1.0	1.0	1.0
0121929c-458c-44f3-af9a-67a546905497	1.0	1.0	1.0	0.8	0.0	-1	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
79827e13-54e9-48c4-a249-c2190a01e5b6	0.181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
