ABSTIMMUNG	cdu/csu	spd	AfD	FDP	Die Linke	Bündnis 90/Die Grünen	fraktionslos	file
019-223-01	0.004329004329004329	0.0	0.0	1.0	1.0	-1	0.3333333333333333	20210421_1_xls-data.xlsx
019-223-02	0.008658008658008658	0.0070921985815602835	0.05	1.0	1.0	0.5	0.3333333333333333	20210421_2_xls-data.xlsx
019-223-03	0.004329004329004329	0.0070921985815602835	0.0	1.0	1.0	0.0	0.3333333333333333	20210421_3_xls-data.xlsx
019-223-04	0.004310344827586207	0.0	0.0	1.0	1.0	0.5	0.3333333333333333	20210421_4_xls-data.xlsx
019-223-05	0.0	0.0	0.0	0.5	1.0	1.0	0.16666666666666666	20210421_5_xls-data.xlsx
019-223-06	0.9078947368421053	0.9854014598540146	0.0	0.0	0.0	0.0	0.0	20210421_6_xls-data.xlsx
019-223-07	1.0	0.9852941176470589	0.8461538461538461	1.0	0.0	0.5384615384615384	0.2	20210421_7_xls-data.xlsx
019-223-08	1.0	0.9925373134328358	0.0	1.0	0.0	0.0	0.0	20210421_8_xls-data.xlsx
019-225-01	1.0	1.0	0.0	0.0	-1	-1	0.0	20210423_1_xls-data.xlsx
019-227-01	0.0	0.0	1.0	0.0	0.0	0.0	0.5	20210506_1_xls-data.xlsx
019-227-02	1.0	1.0	0.0	-1	1.0	1.0	0.6666666666666666	20210506_2_xls-data.xlsx
019-227-03	0.0	0.0	0.0	1.0	1.0	1.0	0.3333333333333333	20210506_3_xls-data.xlsx
019-227-04	0.995475113122172	0.9927007299270073	0.9864864864864865	1.0	0.0	0.0	0.75	20210506_4_xls-data.xlsx
019-228-01	0.0	0.0	0.0	-1	1.0	1.0	0.2	20210507_1_xls-data.xlsx
019-229-01	0.9956521739130435	0.9857142857142858	0.0	1.0	0.0	0.9666666666666667	0.14285714285714285	20210519_1_xls-data.xlsx
019-229-02	0.004347826086956522	0.007194244604316547	0.02564102564102564	0.9848484848484849	0.9298245614035088	1.0	0.42857142857142855	20210519_2_xls-data.xlsx
019-229-03	0.0	0.007194244604316547	0.0	-1	0.9298245614035088	1.0	0.42857142857142855	20210519_3_xls-data.xlsx
019-229-04	0.9956521739130435	0.9928571428571429	0.9743589743589743	0.0	0.0	0.0	0.8571428571428571	20210519_4_xls-data.xlsx
019-229-05	1.0	0.9784172661870504	0.0	1.0	0.0	0.0	0.14285714285714285	20210519_5_xls-data.xlsx
019-230-01	0.0	0.0	1.0	0.0	0.0	0.0	0.2	20210520_1_xls-data.xlsx
019-233-02	1.0	0.9609375	0.0	0.0	0.0	0.0	0.0	20210610_2_xls-data.xlsx
019-233-03	1.0	1.0	1.0	0.0	0.0	0.0	0.6	20210610_3_xls-data.xlsx
019-233-04	0.0	0.007751937984496124	0.9868421052631579	0.9861111111111112	0.0	0.0	0.75	20210610_4_xls-data.xlsx
019-234-01	0.9553571428571429	1.0	0.0	0.0	1.0	1.0	0.3333333333333333	20210611_1_xls-data.xlsx
019-234-02	0.9395348837209302	0.9916666666666667	0.0	0.0	0.0	1.0	0.0	20210611_2_xls-data.xlsx
019-236-01	0.9555555555555556	0.9784172661870504	0.0	0.0	0.0	0.0	0.0	20210624_1_xls-data.xlsx
019-236-02	0.9690265486725663	1.0	0.0	0.0	0.0	0.0	0.2	20210624_2_xls-data.xlsx
019-236-03	0.9724770642201835	1.0	0.0	0.0	0.0	1.0	0.2	20210624_3_xls-data.xlsx
019-236-04	0.0	0.0	1.0	0.0	0.0	0.0	0.75	20210624_4_xls-data.xlsx
019-236-05	1.0	1.0	0.0	1.0	0.0	0.9655172413793104	0.2	20210624_5_xls-data.xlsx
019-236-06	1.0	1.0	0.0	1.0	0.0	0.9661016949152542	0.2	20210624_6_xls-data.xlsx
