Abstimmung	AfD	Die Linke	Bündnis 90/Die Grünen	Fraktionslos	SPD	CDU/CSU	FDP	BSW	
020-003-01	0.0	-1	1.0	0.5	1.0	0.0	1.0	-1	
020-003-02	0.0	0.0	0.0	0.0	0.0	0.994413407821229	0.0	-1	
020-007-01	0.6	1.0	0.0	0.0	0.0	0.0	0.0	-1	
020-007-02	0.0	0.0	1.0	0.5	1.0	0.9719101123595506	0.9885057471264368	-1	
020-014-02	0.0	0.0	1.0	0.3333333333333333	1.0	0.0	1.0	-1	
020-014-03	0.0	0.0	1.0	0.3333333333333333	1.0	0.0	1.0	-1	
020-015-01	0.0	0.0	0.9807692307692307	0.3333333333333333	0.9841269841269841	1.0	1.0	-1	
020-021-01	0.014925373134328358	0.0	0.0	0.0	0.0	1.0	0.0	-1	
020-022-01	0.0	0.0	1.0	0.0	1.0	0.0	1.0	-1	
020-022-02	0.8787878787878788	0.0	0.9903846153846154	1.0	1.0	1.0	1.0	-1	
020-022-03	0.0	0.0	0.9805825242718447	0.0	0.9942528735632183	1.0	1.0	-1	
020-028-02	0.0	0.19444444444444445	0.9444444444444444	0.0	0.9521276595744681	0.01675977653631285	0.05952380952380952	-1	
020-028-03	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	-1	
020-028-04	0.013333333333333334	0.3333333333333333	0.02727272727272727	0.3333333333333333	0.015463917525773196	0.03389830508474576	0.7228915662650602	-1	
020-028-05	1.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	-1	
020-031-01	0.05714285714285714	0.0	1.0	0.5	1.0	0.9946236559139785	1.0	-1	
020-032-01	0.0	0.0	1.0	0.3333333333333333	1.0	1.0	1.0	-1	
020-037-02	0.0	1.0	1.0	0.3333333333333333	1.0	0.0	1.0	-1	
020-037-03	0.0	1.0	1.0	0.3333333333333333	1.0	0.9942528735632183	1.0	-1	
020-038-01	0.0	0.0	0.9907407407407407	0.3333333333333333	0.978494623655914	1.0	1.0	-1	
